,groups,channels,windows,amplitudes
0,BND,fz,win_1,2.282
1,BND,fz,win_1,-1.634
2,BND,fz,win_1,0.324
3,BND,fz,win_1,-1.172
4,BND,fz,win_1,0.493
5,BND,fz,win_1,-0.113
6,BND,fz,win_1,-0.13
7,BND,fz,win_1,0.036
8,BND,fz,win_1,0.24
9,BND,fz,win_1,-0.095
10,BND,fz,win_1,1.124
11,BND,fz,win_1,-0.989
12,BND,fz,win_1,-0.356
13,BND,cz,win_1,3.074
14,BND,cz,win_1,-1.349
15,BND,cz,win_1,-0.172
16,BND,cz,win_1,-1.195
17,BND,cz,win_1,0.042
18,BND,cz,win_1,-0.786
19,BND,cz,win_1,2.459
20,BND,cz,win_1,0.37
21,BND,cz,win_1,0.147
22,BND,cz,win_1,-0.486
23,BND,cz,win_1,0.427
24,BND,cz,win_1,-0.628
25,BND,cz,win_1,-0.385
26,BND,pz,win_1,2.563
27,BND,pz,win_1,-0.597
28,BND,pz,win_1,-0.121
29,BND,pz,win_1,-0.543
30,BND,pz,win_1,1.326
31,BND,pz,win_1,-0.111
32,BND,pz,win_1,0.586
33,BND,pz,win_1,0.812
34,BND,pz,win_1,0.706
35,BND,pz,win_1,-0.672
36,BND,pz,win_1,-0.127
37,BND,pz,win_1,-1.029
38,BND,pz,win_1,-0.683
39,BND,fz,win_2,2.295
40,BND,fz,win_2,-5.307
41,BND,fz,win_2,2.38
42,BND,fz,win_2,-3.113
43,BND,fz,win_2,-0.327
44,BND,fz,win_2,-3.096
45,BND,fz,win_2,-2.041
46,BND,fz,win_2,-0.901
47,BND,fz,win_2,2.246
48,BND,fz,win_2,-2.326
49,BND,fz,win_2,-0.836
50,BND,fz,win_2,-4.2
51,BND,fz,win_2,-0.839
52,BND,cz,win_2,4.276
53,BND,cz,win_2,-3.361
54,BND,cz,win_2,2.948
55,BND,cz,win_2,-1.547
56,BND,cz,win_2,-0.51
57,BND,cz,win_2,-3.853
58,BND,cz,win_2,3.189
59,BND,cz,win_2,-0.729
60,BND,cz,win_2,1.859
61,BND,cz,win_2,-3.43
62,BND,cz,win_2,-1.188
63,BND,cz,win_2,-4.512
64,BND,cz,win_2,-1.499
65,BND,pz,win_2,3.203
66,BND,pz,win_2,-1.595
67,BND,pz,win_2,2.643
68,BND,pz,win_2,-0.162
69,BND,pz,win_2,1.065
70,BND,pz,win_2,-1.752
71,BND,pz,win_2,0.089
72,BND,pz,win_2,1.341
73,BND,pz,win_2,1.448
74,BND,pz,win_2,-1.719
75,BND,pz,win_2,-0.939
76,BND,pz,win_2,-3.767
77,BND,pz,win_2,-1.297
78,BND,fz,win_3,1.398
79,BND,fz,win_3,-1.627
80,BND,fz,win_3,1.758
81,BND,fz,win_3,-1.355
82,BND,fz,win_3,0.645
83,BND,fz,win_3,-1.42
84,BND,fz,win_3,0.187
85,BND,fz,win_3,1.108
86,BND,fz,win_3,2.619
87,BND,fz,win_3,0.771
88,BND,fz,win_3,1.631
89,BND,fz,win_3,-1.477
90,BND,fz,win_3,-0.2
91,BND,cz,win_3,2.394
92,BND,cz,win_3,-2.059
93,BND,cz,win_3,1.545
94,BND,cz,win_3,-0.545
95,BND,cz,win_3,0.977
96,BND,cz,win_3,-1.441
97,BND,cz,win_3,3.168
98,BND,cz,win_3,1.376
99,BND,cz,win_3,1.844
100,BND,cz,win_3,-0.499
101,BND,cz,win_3,0.977
102,BND,cz,win_3,-0.578
103,BND,cz,win_3,-0.368
104,BND,pz,win_3,3.371
105,BND,pz,win_3,-1.061
106,BND,pz,win_3,1.679
107,BND,pz,win_3,0.355
108,BND,pz,win_3,1.997
109,BND,pz,win_3,-1.347
110,BND,pz,win_3,0.701
111,BND,pz,win_3,2.259
112,BND,pz,win_3,2.404
113,BND,pz,win_3,0.038
114,BND,pz,win_3,0.58
115,BND,pz,win_3,-1.138
116,BND,pz,win_3,-1.109
117,BMIDMOD,fz,win_1,-1.629
118,BMIDMOD,fz,win_1,-0.739
119,BMIDMOD,fz,win_1,1.898
120,BMIDMOD,fz,win_1,0.354
121,BMIDMOD,fz,win_1,0.623
122,BMIDMOD,fz,win_1,-0.461
123,BMIDMOD,fz,win_1,0.085
124,BMIDMOD,fz,win_1,-1.219
125,BMIDMOD,fz,win_1,2.008
126,BMIDMOD,fz,win_1,-0.193
127,BMIDMOD,fz,win_1,-0.517
128,BMIDMOD,fz,win_1,0.912
129,BMIDMOD,fz,win_1,0.303
130,BMIDMOD,fz,win_1,-1.871
131,BMIDMOD,fz,win_1,0.147
132,BMIDMOD,fz,win_1,-0.751
133,BMIDMOD,fz,win_1,-0.573
134,BMIDMOD,cz,win_1,-0.641
135,BMIDMOD,cz,win_1,0.499
136,BMIDMOD,cz,win_1,1.346
137,BMIDMOD,cz,win_1,-0.054
138,BMIDMOD,cz,win_1,0.699
139,BMIDMOD,cz,win_1,0.074
140,BMIDMOD,cz,win_1,-1.213
141,BMIDMOD,cz,win_1,-1.068
142,BMIDMOD,cz,win_1,-1.762
143,BMIDMOD,cz,win_1,-0.522
144,BMIDMOD,cz,win_1,0.802
145,BMIDMOD,cz,win_1,0.385
146,BMIDMOD,cz,win_1,-0.64
147,BMIDMOD,cz,win_1,-1.038
148,BMIDMOD,cz,win_1,0.138
149,BMIDMOD,cz,win_1,-1.12
150,BMIDMOD,cz,win_1,0.039
151,BMIDMOD,pz,win_1,-1.748
152,BMIDMOD,pz,win_1,-0.716
153,BMIDMOD,pz,win_1,2.856
154,BMIDMOD,pz,win_1,1.249
155,BMIDMOD,pz,win_1,0.756
156,BMIDMOD,pz,win_1,-0.328
157,BMIDMOD,pz,win_1,-0.695
158,BMIDMOD,pz,win_1,-0.644
159,BMIDMOD,pz,win_1,1.003
160,BMIDMOD,pz,win_1,-0.522
161,BMIDMOD,pz,win_1,-0.23
162,BMIDMOD,pz,win_1,0.617
163,BMIDMOD,pz,win_1,-0.916
164,BMIDMOD,pz,win_1,1.326
165,BMIDMOD,pz,win_1,0.179
166,BMIDMOD,pz,win_1,-0.634
167,BMIDMOD,pz,win_1,2.215
168,BMIDMOD,fz,win_2,-6.556
169,BMIDMOD,fz,win_2,-0.546
170,BMIDMOD,fz,win_2,2.127
171,BMIDMOD,fz,win_2,-1.717
172,BMIDMOD,fz,win_2,-1.04
173,BMIDMOD,fz,win_2,-1.357
174,BMIDMOD,fz,win_2,-1.975
175,BMIDMOD,fz,win_2,1.539
176,BMIDMOD,fz,win_2,-1.646
177,BMIDMOD,fz,win_2,-3.276
178,BMIDMOD,fz,win_2,-2.089
179,BMIDMOD,fz,win_2,-1.139
180,BMIDMOD,fz,win_2,-4.0
181,BMIDMOD,fz,win_2,3.4
182,BMIDMOD,fz,win_2,0.1
183,BMIDMOD,fz,win_2,-3.169
